StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q41,Q3,Q4,Q5,Q6,Q7,Q10,Q12,Q14,Q16,Q18,Q21,Q22,Q23,Q24,Q25,Q27,Q28,Q29,Q30,Q31,Q33,Q34,Q35,Q36,Q37,Q39,Q40,Q40 - Topics
2019-03-19 06:49:17,2019-03-19 06:54:41,IP Address,*******,100,324,True,2019-03-19 06:54:42,R_1FQjLyWyTPXn2Mm,*******,*******,*******,*******,*******,*******,email,EN,Yes,3,1,3,7,3,4,5,6,6,3,1,3,7,7,3,7,6,6,7,6,7,7,6,7,7,No,,
2019-03-19 06:42:40,2019-03-19 06:54:48,IP Address,*******,100,727,True,2019-03-19 06:54:48,R_1d5MCQHagHLqwl2,*******,*******,*******,*******,*******,*******,email,EN,Yes,6,7,5,1,1,5,2,2,2,5,2,2,2,4,4,1,7,5,2,2,2,4,4,5,4,No,,
2019-03-19 06:44:52,2019-03-19 06:57:20,IP Address,*******,100,747,True,2019-03-19 06:57:21,R_2WUdvrReDCMIlmo,*******,*******,*******,*******,*******,*******,email,EN,Yes,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Yes,na,Unknown
2019-03-19 06:53:01,2019-03-19 06:57:35,IP Address,*******,100,273,True,2019-03-19 06:57:35,R_2V7LBJtgYGEMY9e,*******,*******,*******,*******,*******,*******,email,EN,Yes,5,2,3,4,5,5,3,4,5,6,5,5,6,6,5,1,4,1,5,5,3,3,3,3,1,No,,
2019-03-19 06:50:03,2019-03-19 06:57:57,IP Address,*******,100,473,True,2019-03-19 06:57:57,R_01fTQ010pAtB6Rb,*******,*******,*******,*******,*******,*******,email,EN,Yes,6,7,6,1,6,5,4,5,4,5,5,5,5,4,5,1,1,5,1,1,1,6,2,5,4,No,,
2019-03-19 06:52:30,2019-03-19 06:58:47,IP Address,*******,100,376,True,2019-03-19 06:58:47,R_5sSqHRicbdJSPT3,*******,*******,*******,*******,*******,*******,email,EN,Yes,5,7,1,1,3,6,2,1,2,2,7,2,5,6,6,2,7,7,4,6,5,7,7,1,2,No,,
2019-03-19 06:52:13,2019-03-19 06:59:48,IP Address,*******,100,455,True,2019-03-19 06:59:49,R_NWP5ubnzTQOVI6B,*******,*******,*******,*******,*******,*******,email,EN,Yes,3,7,6,1,4,6,4,1,1,1,1,1,6,4,4,1,1,2,1,1,1,1,1,1,1,Yes,https://www.facebook.com/profile.php?id=100000016853722,Unknown
2019-03-19 06:59:09,2019-03-19 07:02:40,IP Address,*******,100,210,True,2019-03-19 07:02:40,R_3h45MxVNR7YT7UT,*******,*******,*******,*******,*******,*******,email,EN,Yes,3,7,3,1,2,2,1,1,1,6,2,1,2,6,5,1,6,7,7,7,7,7,7,1,1,No,,
2019-03-19 06:44:55,2019-03-19 07:05:55,IP Address,*******,100,1260,True,2019-03-19 07:05:56,R_3jZkNysIaILEVNU,*******,*******,*******,*******,*******,*******,email,EN,Yes,4,2,7,7,7,3,7,7,7,6,4,7,7,2,2,7,4,4,6,1,7,7,7,7,7,No,,
2019-03-19 07:02:46,2019-03-19 07:11:34,IP Address,*******,100,527,True,2019-03-19 07:11:34,R_OjwRlOl3sYnbzrP,*******,*******,*******,*******,*******,*******,email,EN,Yes,4,4,4,4,4,6,4,5,4,5,4,4,4,4,4,4,6,5,4,5,4,4,4,3,4,No,,
2019-03-19 07:00:40,2019-03-19 07:12:34,IP Address,*******,100,714,True,2019-03-19 07:12:34,R_3Hvur2kYxgyEDp1,*******,*******,*******,*******,*******,*******,email,EN,Yes,4,7,1,1,7,6,1,1,1,6,4,1,6,4,7,4,7,6,1,4,6,6,3,4,4,Yes,https://www.facebook.com/profile.php?id=100011870720210,Unknown
2019-03-19 07:01:19,2019-03-19 07:13:23,IP Address,*******,100,723,True,2019-03-19 07:13:24,R_3Hh6F8CLHd493j9,*******,*******,*******,*******,*******,*******,email,EN,Yes,1,7,4,1,4,5,2,1,1,4,5,1,3,4,6,1,6,6,1,6,5,5,3,3,2,Yes,Facebook.com/Santiago.guiran,Unknown
2019-03-19 06:55:31,2019-03-19 07:18:22,IP Address,*******,100,1370,True,2019-03-19 07:18:22,R_2R9WbaqhOpdIUTE,*******,*******,*******,*******,*******,*******,email,EN,Yes,5,6,4,3,5,6,3,4,4,6,5,5,3,3,5,4,5,6,4,5,4,5,4,4,3,No,,
2019-03-19 07:08:50,2019-03-19 07:18:34,IP Address,*******,100,584,True,2019-03-19 07:18:35,R_3HucXAq03FwzVGr,*******,*******,*******,*******,*******,*******,email,EN,Yes,1,6,1,1,2,5,3,1,1,5,6,4,1,3,6,2,7,4,5,7,4,2,5,3,2,Yes,https://www.facebook.com/jessica.wright.79230,Unknown
2019-03-19 07:05:52,2019-03-19 07:19:16,IP Address,*******,100,804,True,2019-03-19 07:19:17,R_2aXduvsX2cSCjVi,*******,*******,*******,*******,*******,*******,email,EN,Yes,1,7,7,4,1,3,1,1,1,3,7,2,4,4,5,4,7,7,1,4,4,5,4,4,1,No,,
2019-03-19 07:13:07,2019-03-19 07:19:56,IP Address,*******,100,409,True,2019-03-19 07:19:57,R_eCAGlwylalIQyXf,*******,*******,*******,*******,*******,*******,email,EN,Yes,4,4,4,7,4,2,4,2,4,3,4,4,4,4,4,5,3,4,4,3,4,4,4,4,4,No,,
2019-03-19 07:13:19,2019-03-19 07:21:02,IP Address,*******,100,462,True,2019-03-19 07:21:03,R_32VEgRHufQqKBnB,*******,*******,*******,*******,*******,*******,email,EN,Yes,3,3,1,1,1,5,1,1,1,5,3,3,2,2,5,1,3,6,5,6,1,5,1,3,3,No,,
2019-03-19 07:16:12,2019-03-19 07:24:05,IP Address,*******,100,473,True,2019-03-19 07:24:06,R_11dsBrROQ9aNJ0U,*******,*******,*******,*******,*******,*******,email,EN,Yes,3,2,3,7,3,5,5,6,7,5,6,5,4,3,3,7,6,4,7,7,6,5,6,5,6,Yes,https://www.facebook.com/george.england.3954,Unknown
2019-03-19 06:42:26,2019-03-19 07:26:45,IP Address,*******,100,2659,True,2019-03-19 07:26:46,R_27HepPtkoo8FoAg,*******,*******,*******,*******,*******,*******,email,EN,Yes,4,2,2,7,7,2,4,6,5,2,1,7,7,4,2,7,1,4,4,4,4,3,3,5,4,No,,
2019-03-19 06:56:15,2019-03-19 07:27:22,IP Address,*******,100,1867,True,2019-03-19 07:27:23,R_1l4s74m28BYpNlu,*******,*******,*******,*******,*******,*******,email,EN,Yes,4,6,4,3,2,4,1,1,2,5,7,4,1,4,5,1,1,2,1,3,1,2,2,2,1,No,,
2019-03-19 07:19:18,2019-03-19 07:28:19,IP Address,*******,100,541,True,2019-03-19 07:28:20,R_3RxvwavL108k0cP,*******,*******,*******,*******,*******,*******,email,EN,Yes,3,5,4,4,4,3,2,5,1,2,4,1,1,5,5,7,2,4,4,2,1,5,4,4,2,No,,
2019-03-19 07:19:16,2019-03-19 07:28:57,IP Address,*******,100,580,True,2019-03-19 07:28:57,R_1gd5l56E2T6xSFK,*******,*******,*******,*******,*******,*******,email,EN,Yes,2,3,2,1,1,2,1,1,1,4,3,3,1,1,3,1,7,2,1,7,1,5,7,2,1,No,,
2019-03-19 07:23:49,2019-03-19 07:32:57,IP Address,*******,100,547,True,2019-03-19 07:32:57,R_pmY8FLQMBS8GJNv,*******,*******,*******,*******,*******,*******,email,EN,Yes,3,7,5,1,1,5,2,1,3,5,6,4,5,5,7,2,7,7,5,7,1,3,6,4,2,No,,
2019-03-19 07:20:32,2019-03-19 07:33:09,IP Address,*******,100,756,True,2019-03-19 07:33:09,R_2tvJt2lBmFF6NXj,*******,*******,*******,*******,*******,*******,email,EN,Yes,5,6,2,1,2,5,1,1,1,3,7,1,1,5,6,1,7,6,3,5,2,7,4,1,2,No,,
2019-03-19 07:20:00,2019-03-19 07:33:51,IP Address,*******,100,830,True,2019-03-19 07:33:51,R_ALGVOxPsAUIyYw1,*******,*******,*******,*******,*******,*******,email,EN,Yes,7,5,6,7,7,1,6,4,6,6,2,2,5,2,2,6,2,5,7,5,7,1,5,7,7,No,,
2019-03-19 07:28:12,2019-03-19 07:34:08,IP Address,*******,100,355,True,2019-03-19 07:34:09,R_2QikvYWCc8HlHRw,*******,*******,*******,*******,*******,*******,email,EN,Yes,5,3,4,6,2,3,6,3,7,1,3,6,2,3,3,6,5,2,6,6,3,3,6,3,5,No,,
2019-03-19 07:10:05,2019-03-19 07:40:41,IP Address,*******,100,1835,True,2019-03-19 07:40:41,R_2y171qSog8Gthip,*******,*******,*******,*******,*******,*******,email,EN,Yes,6,1,6,3,7,6,6,6,6,6,1,7,2,1,1,2,1,4,2,2,5,6,2,6,5,Yes,https://www.facebook.com/majida.halaweh,Unknown
2019-03-19 07:30:41,2019-03-19 07:41:04,IP Address,*******,100,622,True,2019-03-19 07:41:04,R_xhc1syr6xgaLbnX,*******,*******,*******,*******,*******,*******,email,EN,Yes,3,2,1,5,4,3,7,4,7,3,7,7,7,3,3,7,1,1,3,3,7,1,3,7,7,Yes,https://www.facebook.com/bayode.okusanya,Unknown
2019-03-19 07:32:48,2019-03-19 07:44:14,IP Address,*******,100,685,True,2019-03-19 07:44:14,R_3lFZsbzd0bOKxwP,*******,*******,*******,*******,*******,*******,email,EN,Yes,5,7,7,1,7,6,3,3,3,1,7,1,1,1,5,3,5,5,3,3,3,6,4,3,1,No,,
2019-03-19 06:47:19,2019-03-19 07:44:19,IP Address,*******,100,3420,True,2019-03-19 07:44:20,R_3JqSI5IIL0kxwDz,*******,*******,*******,*******,*******,*******,email,EN,Yes,7,7,7,1,1,6,1,7,5,5,1,1,1,1,6,1,7,7,1,4,1,5,7,1,2,Yes,zach.schoenfeld.3,Unknown
2019-03-19 07:39:37,2019-03-19 07:47:01,IP Address,*******,100,444,True,2019-03-19 07:47:02,R_ufFLc1ma9TPEPKx,*******,*******,*******,*******,*******,*******,email,EN,Yes,3,1,7,7,2,4,6,3,6,5,1,3,2,3,1,6,3,2,6,3,5,5,3,3,6,No,,
2019-03-19 07:39:59,2019-03-19 07:47:18,IP Address,*******,100,438,True,2019-03-19 07:47:18,R_1lAcUyuFrv9TzrX,*******,*******,*******,*******,*******,*******,email,EN,Yes,1,2,1,1,1,7,1,3,1,6,2,1,3,5,5,1,6,5,1,6,6,4,4,4,4,Yes,https://m.facebook.com/hannah.baynesan,Unknown
2019-03-19 07:41:52,2019-03-19 07:50:01,IP Address,*******,100,489,True,2019-03-19 07:50:02,R_2wpMoT2QlNYHVuQ,*******,*******,*******,*******,*******,*******,email,EN,Yes,5,2,4,6,2,3,6,7,7,3,3,6,5,5,4,7,1,2,5,1,4,3,2,3,6,No,,
2019-03-19 07:39:42,2019-03-19 07:53:11,IP Address,*******,100,809,True,2019-03-19 07:53:12,R_20MoVS0eXvLIao9,*******,*******,*******,*******,*******,*******,email,EN,Yes,4,6,1,2,1,6,1,1,1,4,6,3,4,6,5,1,4,6,1,4,3,4,6,1,3,No,,
2019-03-19 07:51:35,2019-03-19 07:55:46,IP Address,*******,100,251,True,2019-03-19 07:55:47,R_9uyT3DkDXt83kVX,*******,*******,*******,*******,*******,*******,email,EN,Yes,3,1,6,5,4,2,7,5,6,6,6,7,6,5,6,6,1,2,2,2,2,3,2,6,3,No,,
2019-03-19 07:53:15,2019-03-19 07:58:46,IP Address,*******,100,331,True,2019-03-19 07:58:47,R_3sh4Dej3NcliR7A,*******,*******,*******,*******,*******,*******,email,EN,Yes,3,3,4,2,3,3,2,1,1,3,2,4,2,1,2,1,3,3,1,2,2,3,1,2,1,Yes,Facebook.com/skyjung2000,Unknown
2019-03-19 07:50:29,2019-03-19 08:00:25,IP Address,*******,100,595,True,2019-03-19 08:00:25,R_12xMwksPGML6JxM,*******,*******,*******,*******,*******,*******,email,EN,Yes,2,6,3,1,1,6,1,1,1,2,6,2,1,7,6,1,7,6,3,6,1,2,1,1,2,No,,
2019-03-19 07:51:21,2019-03-19 08:01:20,IP Address,*******,100,599,True,2019-03-19 08:01:21,R_CjYPRFPoSlHUq8V,*******,*******,*******,*******,*******,*******,email,EN,Yes,5,6,5,4,6,6,4,4,4,6,5,6,5,6,6,4,5,5,4,4,5,5,5,5,5,No,,
2019-03-19 07:57:16,2019-03-19 08:05:26,IP Address,*******,100,490,True,2019-03-19 08:05:27,R_1LIO9ZwsPjzT2tD,*******,*******,*******,*******,*******,*******,email,EN,Yes,5,6,4,1,2,5,1,2,1,5,7,1,2,4,5,1,7,7,7,7,2,5,7,3,4,No,,
2019-03-19 07:55:50,2019-03-19 08:07:47,IP Address,*******,100,716,True,2019-03-19 08:07:47,R_3EKon0ySLtNDIWU,*******,*******,*******,*******,*******,*******,email,EN,Yes,4,5,4,1,4,3,1,1,2,6,6,5,5,2,2,2,5,6,4,3,6,4,2,6,5,No,,
2019-03-19 07:13:41,2019-03-19 08:08:32,IP Address,*******,100,3290,True,2019-03-19 08:08:32,R_3shuf2rM1YLHM7y,*******,*******,*******,*******,*******,*******,email,EN,Yes,5,6,5,2,3,4,2,2,2,5,3,3,2,2,5,2,6,6,2,5,4,3,6,5,4,No,,
2019-03-19 07:53:11,2019-03-19 08:10:39,IP Address,*******,100,1048,True,2019-03-19 08:10:40,R_1gUy8xIHRcLoGnO,*******,*******,*******,*******,*******,*******,email,EN,Yes,5,6,6,1,2,5,2,1,2,5,5,1,2,3,4,3,5,5,3,3,2,4,4,3,3,Yes,https://www.facebook.com/janie.s.kim,Unknown
2019-03-19 07:30:34,2019-03-19 08:11:13,IP Address,*******,100,2439,True,2019-03-19 08:11:13,R_2YJKhsYWQo6XZHn,*******,*******,*******,*******,*******,*******,email,EN,Yes,3,2,4,7,2,2,6,7,6,6,2,5,4,2,2,7,2,1,7,2,6,1,3,7,4,No,,
2019-03-19 08:13:18,2019-03-19 08:22:12,IP Address,*******,100,534,True,2019-03-19 08:22:12,R_2Y8PdJkSAlqMrqV,*******,*******,*******,*******,*******,*******,email,EN,Yes,5,2,4,5,3,3,7,5,5,6,5,5,4,5,3,7,2,2,6,5,5,2,1,5,4,Yes,https://www.facebook.com/profile.php?id=100005088558434,Unknown
2019-03-19 08:11:51,2019-03-19 08:22:19,IP Address,*******,100,628,True,2019-03-19 08:22:20,R_AO74gjPvfXgnhZL,*******,*******,*******,*******,*******,*******,email,EN,Yes,2,7,2,1,3,6,1,2,1,5,6,5,5,6,7,1,5,5,1,1,2,4,1,1,1,Yes,https://www.facebook.com/ciara.oriordan.3,Unknown
2019-03-19 08:19:22,2019-03-19 08:26:29,IP Address,*******,100,426,True,2019-03-19 08:26:29,R_3gZ5mhILUXj7d9M,*******,*******,*******,*******,*******,*******,email,EN,Yes,7,7,7,7,7,4,5,2,1,5,7,7,7,7,7,4,4,5,4,4,3,3,3,3,2,No,,
2019-03-19 07:22:05,2019-03-19 08:28:00,IP Address,*******,100,3954,True,2019-03-19 08:28:00,R_2E0QPIj8y7rYQdj,*******,*******,*******,*******,*******,*******,email,EN,Yes,1,7,3,1,1,1,1,1,1,1,6,1,3,1,1,1,7,7,1,1,1,1,6,1,1,No,,
2019-03-19 08:12:43,2019-03-19 08:32:04,IP Address,*******,100,1161,True,2019-03-19 08:32:05,R_22lzwElok8esqKL,*******,*******,*******,*******,*******,*******,email,EN,Yes,4,7,4,1,5,2,1,1,1,1,5,4,4,6,2,1,7,7,2,6,5,5,4,2,1,No,,
2019-03-19 08:27:05,2019-03-19 08:32:35,IP Address,*******,100,329,True,2019-03-19 08:32:36,R_2drR5E8YYrBqXyV,*******,*******,*******,*******,*******,*******,email,EN,Yes,4,2,3,7,1,2,4,3,4,4,2,4,5,5,4,5,1,4,4,1,4,3,4,5,4,Yes,https://www.facebook.com/normanxi,Unknown
2019-03-19 08:28:50,2019-03-19 08:33:09,IP Address,*******,100,258,True,2019-03-19 08:33:09,R_wYiXlUsPaysX2nv,*******,*******,*******,*******,*******,*******,email,EN,Yes,5,6,3,1,4,3,1,1,1,5,3,5,2,2,3,1,5,3,1,3,2,2,3,2,1,No,,
2019-03-19 08:23:33,2019-03-19 08:33:28,IP Address,*******,100,595,True,2019-03-19 08:33:29,R_2cCszuXQ8PTJbEC,*******,*******,*******,*******,*******,*******,email,EN,Yes,4,5,5,1,6,5,2,3,2,4,5,4,2,3,4,1,4,4,2,3,2,4,2,2,2,No,,
2019-03-19 08:17:05,2019-03-19 08:33:46,IP Address,*******,100,1000,True,2019-03-19 08:33:47,R_3qOiXQF5rBlugQc,*******,*******,*******,*******,*******,*******,email,EN,Yes,5,1,6,6,6,5,7,6,6,3,1,6,7,4,2,7,4,3,6,4,5,2,5,7,7,No,,
2019-03-19 08:21:02,2019-03-19 08:35:54,IP Address,*******,100,891,True,2019-03-19 08:35:54,R_3kifiUyWk1KoEv4,*******,*******,*******,*******,*******,*******,email,EN,Yes,3,1,7,7,2,3,6,6,6,3,2,6,4,3,2,6,2,2,5,3,4,2,3,7,6,No,,
2019-03-19 08:25:25,2019-03-19 08:37:17,IP Address,*******,100,712,True,2019-03-19 08:37:17,R_PMOkJbTXS2CwuAh,*******,*******,*******,*******,*******,*******,email,EN,Yes,2,6,5,1,1,5,1,6,1,5,4,1,1,6,6,1,3,2,1,1,1,1,1,1,1,Yes,,
